id,age,education,education_num,marital_status,occupation,relationship,race,gender,hours_per_week,native_country,greater_than_50k,age_standarized
1,39.0, Bachelors,13.0, Never-married, Adm-clerical, Not-in-family, White, Male,40.0, United-States,0,0.0411815364442109
3,38.0, HS-grad,9.0, Divorced, Handlers-cleaners, Not-in-family, White, Male,40.0, United-States,0,-0.0422595448735549
4,53.0, 11th,7.0, Married-civ-spouse, Handlers-cleaners, Husband, Black, Male,40.0, United-States,0,1.209356674892934
5,28.0, Bachelors,13.0, Married-civ-spouse, Prof-specialty, Wife, Black, Female,40.0, Cuba,0,-0.8766703580512144
6,37.0, Masters,14.0, Married-civ-spouse, Exec-managerial, Wife, White, Female,40.0, United-States,0,-0.1257006261913209
8,52.0, HS-grad,9.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,45.0, United-States,1,1.125915593575168
9,31.0, Masters,14.0, Never-married, Prof-specialty, Not-in-family, White, Female,50.0, United-States,1,-0.6263471140979165
10,42.0, Bachelors,13.0, Married-civ-spouse, Exec-managerial, Husband, White, Male,40.0, United-States,1,0.2915047803975087
12,30.0, Bachelors,13.0, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,40.0, India,1,-0.7097881954156825
14,32.0, Assoc-acdm,12.0, Never-married, Sales, Not-in-family, Black, Male,50.0, United-States,0,-0.5429060327801506
15,40.0, Assoc-voc,11.0, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,40.0,new_missing,1,0.1246226177619768
17,25.0, HS-grad,9.0, Never-married, Farming-fishing, Own-child, White, Male,35.0, United-States,0,-1.1269936020045122
18,32.0, HS-grad,9.0, Never-married, Machine-op-inspct, Unmarried, White, Male,40.0, United-States,0,-0.5429060327801506
19,38.0, 11th,7.0, Married-civ-spouse, Sales, Husband, White, Male,50.0, United-States,0,-0.0422595448735549
20,43.0, Masters,14.0, Divorced, Exec-managerial, Unmarried, White, Female,45.0, United-States,1,0.3749458617152747
23,35.0, 9th,5.0, Married-civ-spouse, Farming-fishing, Husband, Black, Male,40.0, United-States,0,-0.2925827888268528
24,43.0, 11th,7.0, Married-civ-spouse, Transport-moving, Husband, White, Male,40.0, United-States,0,0.3749458617152747
25,59.0, HS-grad,9.0, Divorced, Tech-support, Unmarried, White, Female,40.0, United-States,0,1.7100031627995298
26,56.0, Bachelors,13.0, Married-civ-spouse, Tech-support, Husband, White, Male,40.0, United-States,1,1.459679918846232
27,19.0, HS-grad,9.0, Never-married, Craft-repair, Own-child, White, Male,40.0, United-States,0,-1.627640089911108
30,49.0, HS-grad,9.0, Married-civ-spouse, Craft-repair, Husband, White, Male,40.0, United-States,0,0.8755923496218704
31,23.0, Assoc-acdm,12.0, Never-married, Protective-serv, Not-in-family, White, Male,52.0, United-States,0,-1.293875764640044
32,20.0, Some-college,10.0, Never-married, Sales, Own-child, Black, Male,44.0, United-States,0,-1.544199008593342
33,45.0, Bachelors,13.0, Divorced, Exec-managerial, Own-child, White, Male,40.0, United-States,0,0.5418280243508066
34,30.0, Some-college,10.0, Married-civ-spouse, Adm-clerical, Own-child, White, Male,40.0, United-States,0,-0.7097881954156825
36,48.0, 11th,7.0, Never-married, Machine-op-inspct, Unmarried, White, Male,40.0, Puerto-Rico,0,0.7921512683041044
37,21.0, Some-college,10.0, Never-married, Machine-op-inspct, Own-child, White, Male,40.0, United-States,0,-1.460757927275576
39,31.0, Some-college,10.0, Married-civ-spouse, Sales, Husband, White, Male,38.0,new_missing,1,-0.6263471140979165
40,48.0, Assoc-acdm,12.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,40.0, United-States,0,0.7921512683041044
41,31.0, 9th,5.0, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,43.0, United-States,0,-0.6263471140979165
42,53.0, Bachelors,13.0, Married-civ-spouse, Prof-specialty, Husband, White, Male,40.0, United-States,0,1.209356674892934
43,24.0, Bachelors,13.0, Married-civ-spouse, Tech-support, Husband, White, Male,50.0, United-States,0,-1.210434683322278
44,49.0, HS-grad,9.0, Separated, Adm-clerical, Unmarried, White, Female,40.0, United-States,0,0.8755923496218704
45,25.0, HS-grad,9.0, Never-married, Handlers-cleaners, Not-in-family, White, Male,35.0, United-States,0,-1.1269936020045122
46,57.0, Bachelors,13.0, Married-civ-spouse, Prof-specialty, Husband, Black, Male,40.0, United-States,1,1.543121000163998
47,53.0, HS-grad,9.0, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,38.0, United-States,0,1.209356674892934
48,44.0, Masters,14.0, Divorced, Exec-managerial, Unmarried, White, Female,40.0, United-States,0,0.4583869430330407
49,41.0, Assoc-voc,11.0, Married-civ-spouse, Craft-repair, Husband, White, Male,40.0, United-States,0,0.2080636990797428
